essay_id,sentence_id,sentence,label
essay_00019,s000118,"since i have never taken any kind of physics class, the topic does kind of scare me, and knowing that its based on algebra, trigonometry, and geometry does make me nervous.",0
essay_00019,s000119,"even though physics it not necessarily part of my biology major, i do believe it explains a lot of what happens in the universe.",0
essay_00019,s000122,focusing on problems with a small amount of people feels more productive to me personally.,0
essay_00019,s000123,basically my main point in being in this class is to get more practice in and to make me less nervous in solving certain problems.,0
essay_00020,s000125,i started working right out of high school and it took me a few years to really gain the motivation to go back to school and transfer from my community college.,0
essay_00020,s000127,"i am taking this sci class (aside from the fact that it is mandatory for me), because i really need that extra push to set aside time to focus on strengthening my knowledge in physics.",0
essay_00021,s000131,i guess that's a question i ask myself pretty frequently.,0
essay_00021,s000133,but in more of a metaphysical sense...,0
essay_00021,s000134,"like why are we here, and i think that is a question that does require more thought.",0
essay_00021,s000135,why do we exist?,0
essay_00021,s000136,in the grand scheme of things we're tiny insignificant particles in this potential multiverse...,0
essay_00021,s000137,you might not even be the best version of yourself. but still we or i continue to act like these smaller things seem to matter.,0
essay_00021,s000138,and my theory for that is that we do exist for a reason.,0
essay_00021,s000139,we exist because we have the potential to create great change.,0
essay_00021,s000140,think about it geniuses like einstein or sports phenoms like lebron james matter to us. even though they have nothing to do with us we admire them because of their will and their potential to or ability to do things we hadn't seen before.,0
essay_00021,s000141,"that is what i believe the purpose of humanity is, to have the potential to change and ultimately live up to that potential is probably the most important thing anyone can do.",0
essay_00021,s000142,"and because of that i believe the reason we exist is or the reason we are ""here"" is to live up to our potential.",0
essay_00022,s000143,this is my second time taking physics.,0
essay_00022,s000144,the first time i took it was two semesters ago and i failed the class.,0
essay_00022,s000145,"(i got an a in the lab) while my teacher was very smart, she was new to teaching and i think she was very bad at it.",0
essay_00022,s000146,she did not know how to teach the students in a way that we would be able to learn the concept.,0
essay_00022,s000147,"my professor would go extremely fast, and would assume we know the concepts we previously learned in high school.",0
essay_00022,s000148,"while i know that pre calculus is a prerequisite for this class, she did an awful job at explaining the concepts.",0
essay_00022,s000149,"i went to her office hours but everytime i would go, she would talk down upon me, so i stopped going after about 4 visits and went to carp instead.unfortunately carp wasn't too helpful because the tutors didn't really know what we were learning in class and therefore, even after looking at my notes, didn't really teach the concept to me.",0
essay_00022,s000150,i studied a couple times with people in my class but not enough.,0
essay_00022,s000151,i think everyone was a little lost in my class.,0
essay_00022,s000152,"after the first exam, only 6 of the class passed with a grade of d or higher.",0
essay_00022,s000153,"i should have dropped the class, it was a very frustration experience, but i waited it out because i thought that if i studied enough, went to office hours enough, that i would pass.",0
essay_00022,s000155,i hope that this supplemental class will introduce me to new people to maybe from a study group with.,0
essay_00022,s000156,i also hope that the supplemental class will enforce what we learn in class and help me better apply formulas to the word problems we have for homework.,0
essay_00025,s000179,i am here because i am dedicated to my success in my stem based courses.,0
essay_00025,s000183,i felt comfortable with them and it gave me time to ask specific questions that i had and have something close to a one on one explanation.,0
essay_00025,s000185,a lot of the time i feel uncomfortable im my regular stem classes because i feel that i may be the only one not understanding.,0
essay_00025,s000186,i also know that the time allotted for the professors are not enough to begin with.,0
essay_00025,s000187,"at the sci classes, we usually go over worksheets that answer my questions.",0
essay_00025,s000189,you so know that the time allotted for the professors are not enough to begin with.,0
essay_00026,s000194,i signed up for this si class because this is the first physics class ive ever taken.,0
essay_00026,s000195,i figured that it would help me really understand the base concepts of physics.,0
essay_00026,s000196,this gives me the understanding that ill need should i decide to pursue further physics knowledge and give me the concepts that ill need to know for my major.,0
essay_00026,s000198,"my class is a little slower paced, so the si class gives me at the very least an introduction to a topic that we havent gone into depth on in my lecture.",0
essay_00026,s000199,im here to make friends and a study group.,0
essay_00026,s000200,ive noticed that this semester specifically im a lot more outgoing with talking to people.,0
essay_00026,s000201,"im not sure what it is, whether im more confident, or if i just dont give as much of a shit.",0
essay_00026,s000203,i have a pretty tight group of friends at home that i live with.,0
essay_00026,s000205,it will be nice to have friends outside of this group too.,0
essay_00026,s000206,i wanted to take this si class so that i can be more confident in my physics skills so that i dont have to focus as much on my grades.,0
essay_00026,s000208,shes trying to go to med school and needs all the help she can get.,0
essay_00026,s000211,im here to really learn physics so that i dont have to catch up later.,0
essay_00027,s000213,theres always space to open your doors for more room for knowledge.,0
essay_00027,s000214,i am all about learning and wanting to do better and better in all that i do and i know this course is perfect for that.,0
essay_00027,s000216,another reason i am here is because i want to be able to help others by learning something myself.,0
essay_00027,s000217,i feel like this opens opportunities to be friends with someone who is on the same path as you and this is an easy way to get to know others around you and to be able to surround yourself with others who are just like you.,0
essay_00027,s000218,i am very grateful and blessed to even be able to take such a course.,0
essay_00028,s000219,my name is student name.,0
essay_00028,s000220,i am a dualmajor at san francisco state university.,0
essay_00028,s000221,"my majors are philosophy and biology, with a concentration in physiology.",0
essay_00028,s000222,"i am eager to delve into research and development, using my biology, philosophy and risk management professional skills in lifesciences.",0
essay_00028,s000223,i also like to rock climb and i teach rock climbing as well as an american mountain guide instructor (amga).,0
essay_00028,s000224,"in my off time, i like to perform music with friends on stage and i have been playing guitar and bass for 13 years.",0
essay_00028,s000225,i also really enjoy photography.,0
essay_00028,s000226,i picked up photography from my dad when i was little and have been taking photos ever sinceits my way of journaling and i find it very therapeutic.,0
essay_00028,s000227,"in highschool i originally wanted to study theatre, but eventually joined a health academy and acquired 400 plus hours towards medical school interning as a student.",0
essay_00028,s000228,"although i changed my direction career wise, i am asked to this day by students to act in their films and script readings at sfsu. it has been nice to find a balance in my hobbies and career goals this semester; the unexamined life is not worth living.",0
essay_00029,s000229,i am here in the sci class because i would like to be pushed to dedicate time for focusing on physics.,0
essay_00029,s000230,"in the sci class, we do practice problems, and work that keeps me focused on physics.",0
essay_00029,s000231,"i am able to teach the concepts to other people and that makes me learn the concepts more as well because i am recalling them and using nothing to reference, but my brain, on what to do.",0
essay_00029,s000232,i think i am also here because if i did not have a regular class to sit me down and do my work i would be less motivated and less likely to do it.,0
essay_00029,s000234,"i do think practice and experience doing homework even if you fully understand the concepts is beneficial, but i don't spend my time unless forced to like a sci class.",0
essay_00029,s000235,this class is a way for me to spend that time i need to further my success in the class and hold myself accountable.,0
essay_00030,s000236,i don't know if this question is pertaining to why am i here at san francisco state university or why am i here in this class.,0
essay_00030,s000237,i am going to answer both.,0
essay_00030,s000238,"i am here at san francisco state university because i wanted to be able to be far from home, but not too far.",0
essay_00030,s000239,"a one hour airplane trip back home, 7 hour drive.",0
essay_00030,s000240,i wanted to experience a different environment and a different culture because not everything done in socal is done in norcal.,0
essay_00030,s000241,i am in college specifically to pursue my one and only career which is to be a veterinarian.,1
essay_00030,s000242,getting declined from uc davis because they have a great vet program lead me over here where i can get my degree then try uc davis later.,0
essay_00030,s000244,why am i here in this sci 111 course?,0
essay_00030,s000245,i am in this course because i am new to physics i never took physics in high school because i was told it can mess up my gpa. hearing that i already knew it would be a challenging course.,0
essay_00030,s000246,i am in the course to get more help with understanding the concept and formulas of physics because the first class was very confusing and my professor teaches very fast.,0
essay_00030,s000247,what i hope to get out of this sci class is a clear understanding of how to solve and physics problem and be confident that i know how to do it.,0
essay_00032,s000252,one of the main reasons i am here is to get an education.,0
essay_00032,s000253,after college i want to go onto medical school to become a neonatal surgeon.,1
essay_00032,s000254,i can only achieve this dream if i have an education.,0
essay_00032,s000255,i personally believe that an education is the key to success.,0
essay_00032,s000256,having an education opens up doors that you would not be able to access if you didnt have an education.,0
essay_00032,s000257,being here at san francisco state gives me an opportunity to get an education.,0
essay_00032,s000259,san francisco is a really good place to explore new concepts and get to know new people.,0
essay_00032,s000261,being away from home in a new city has taught me so many things especially about myself.,0
essay_00032,s000262,i have learned that i am capable of more than i thought i was.,0
essay_00032,s000263,"i have learned a lot since being here and i cant wait to learn more not only about myself, but about becoming a doctor as well as learning new things in the world.",0
essay_00032,s000264,i am very lucky to be at san francisco state because not everyone is able to get a college education.,0
essay_00034,s000277,i am here because one i never took this in high school so i was new to physics and two i am retaking this class.,0
essay_00034,s000279,i dont want to fail again and i also would like to understand it.,0
essay_00034,s000281,i also think this class is a good opportunity to create study groups and make new friends in my major.,0
essay_00034,s000282,you learn more when you teach others how to do something or if youre learning by another student who is taking the same class.,0
essay_00034,s000283,i also feel like it was a good idea for me to take this class because it will help me understand physics a lot better.,0
essay_00034,s000284,physics isnt an easy subject to learn.,0
essay_00034,s000285,a lot of people have told me they had to retake it.,0
essay_00034,s000286,it is my weakness in school.,0
essay_00034,s000287,i am a big fan of math but for some reason physics doesnt stick to my brain.,0
essay_00034,s000288,"im hoping this time around, it will work out for me.",0
essay_00035,s000289,i an here at sfsu for 2 reasons.,0
essay_00035,s000291,i never thought i had an option not too.,0
essay_00035,s000292,"it was always in my head after k12, boom you go to college and become an ""adult"".",0
essay_00035,s000296,"i originally wanted to move to la or san diego, san diego state was originally my first choice.",0
essay_00035,s000299,so i thought sfsu was the best school to go to out of those options.,0
essay_00037,s000314,"i decided to take this class primarily to get a better grade in physics 111; i have never attempted a physics class, so conceptually this is all very new to me.",0
essay_00037,s000315,i always hear about people taking a physics class in high school; i wish i could have been that fortunate!,0
essay_00037,s000316,i feel like being present in this class will help me better understand physics conceptually and mathematically.,0
essay_00037,s000317,"i do not have a strong background in mathematics; despite being given formulas i have a difficult time understanding the ultimate purpose of the formula, as in what it is meant to prove, and i end up getting confused and frustrated with the material.",0
essay_00037,s000318,i hope my attendance will help with understanding the material and being able to correctly calculate the various problems.,0
essay_00037,s000319,i also hope that attending this course will broaden my conceptual comprehension of physics.,0
essay_00037,s000320,i do not want to be stumped on a problem because i cannot imagine what it is supposed to look like or what it is meant to represent.,0
essay_00037,s000321,i am terrified of the upcoming exams in physics; i am hoping that coming to this class will help build my confidence and help me to understand how to look at the problems and determine what factors i need to answer the question.,0
essay_00038,s000322,i'm here because i'm afraid of failing physics and i'm hoping this class will help me succeed in passing it.,0
essay_00038,s000323,it's like this fear i have about failing classes after i failed like two classes.,0
essay_00038,s000324,"i also took my friend with me, devin because we're in same physics class so i won't be alone.",0
essay_00038,s000325,i also hope this class will help me understand physics more by just practicing more problems.,0
essay_00038,s000327,so far this class has been surprisingly fun and i actually learned a lot that helps me with the class.,0
essay_00038,s000328,i learned how to manipulate the equations that will help me in physics.,0
essay_00038,s000329,"i actually meet some cool people so far, like name 1 and name 2.",0
essay_00038,s000330,and i like how open we are and the teachers are really good.,0
essay_00038,s000333,"basically, i'm learning some life skills with this class.",0
essay_00038,s000334,"well yeah, that's pretty much it that's why i'm taking this class.",0
essay_00039,s000335,throughout my entire life i have dreamt about working in the medical field.,0
essay_00039,s000337,"it started as one of those careers that elementary school kids talk about when their teacher asks them what they want to be in the future, and my answer was always a brain surgeon, because how awesome does that sound.",0
essay_00039,s000338,but this dream ended up sticking with me for the duration of my educational career and is the reason that i am attending san francisco state today.,0
essay_00039,s000340,i find the field to be very interesting to me and i can see myself enjoying it for the rest of my life.,0
essay_00039,s000341,"however, i need to make it through a long hard path of schooling to chase this dream.",0
essay_00039,s000342,throughout my educational career i have easily succeed in biology and chemistry courses because they comes naturally to me.,0
essay_00039,s000343,"math always gives me a little trouble, but i get a hang of it after pushing myself to do the best i can.",0
essay_00039,s000344,but then there's physics.,0
essay_00039,s000345,i have never taken a physics course in my life and it makes me very anxious because there are a number of people that have seen what we are covering previously and i have never seen any of it.,0
essay_00039,s000347,"i have heard nothing but good things about these classes, and so far what i have heard is true.",0
essay_00039,s000349,looking forwards to a great and productive semester.,0
essay_00041,s000360,i am in the physics 111 supplemental course because i had failed physics 111 in the past spring semester.,0
essay_00041,s000362,i ended up just giving up on passing the class.,0
essay_00041,s000363,"i am in sci 111 so i can keep myself motivated to do better, improve, and gain a better understanding on what is going on in my physics class.",0
essay_00041,s000364,"i am in sci so i can meet people that have the same goal as me, which is to pass the class and understand it well enough to pass physics 121.",0
essay_00041,s000368,this is because math and science has usually always clicked with me and because physics does not click in my head automatically without lots of thinking i become stressed and worried that i will never be able to understand the material enough to pass the class.,0
essay_00042,s000370,"this class, will help me strive and understand concepts that my professor has taught me during the week.",0
essay_00042,s000371,"if i do not understand a topic, then i would go to this class and ask my questions and get more help until i completely understand what is being taught.",0
essay_00042,s000374,"when i am in that room, i feel comfortable to ask my questions without having anyone judge me because i did not understand a topic that was taught by my professor.",0
essay_00042,s000375,"when i am around my peers in that classroom, i sense a connection and i know that they want what i want, which is to understand physics and pass the class with a good grade.",0
essay_00043,s000378,im in sci to better my understanding of physics.,0
essay_00043,s000379,"i took physics in high school and was absolutely in love, but as we all know high school courses are not the same as college courses.",0
essay_00043,s000380,chemistry has been kicking my butt since i first got to college and with that i was really afraid to start my physics requirements.,0
essay_00043,s000381,"so far into the course, i believe its a lot of visualizing, but chemistry is a lot of visualization as well so i believe im ready.",0
essay_00043,s000382,ive took sci in the past and realized it is also a really great way to make new connections from which you can form study groups or just friends in general.,0
essay_00043,s000383,im really hoping to make more of those connections this semester.,0
essay_00043,s000385,ive enjoyed all of my sci courses and all in all just college too.,0
essay_00044,s000387,i am here because i am a first generation college student and i am interested in the medical field.,1
essay_00044,s000391,i feel very welcome here at san francisco state and i believe that this is a very friendly and helpful place to learn especially as a premed student with a lot of opportunities that we have available.,0
essay_00044,s000392,i feel very blessed to be a part of a community that enriches the growth of learning and works together as one to figure problems out.,1
essay_00044,s000394,becoming a doctor has been a lifelong dream of mine and i plan on enjoying my journey with amazing opportunities here at sfsu.,0
essay_00045,s000395,i am in this sci class in the hopes of getting a really good grade in general physics 1.,0
essay_00045,s000396,"i am hoping for an a, and i honestly think it is doable because of all the extra time i am going to be putting in to make sure i understand all the concepts.",1
essay_00045,s000397,"it will also prepare me for general physics 2, which will hopefully help me down the road somehow when i am in pharmacy school.",0
essay_00045,s000398,"this is my first semester at sfsu, i am a transfer student from southern california (sylmar).",0
essay_00045,s000399,i did not know what to expect for my first semester out here so i also decided to enroll in this course for safety measures just to make sure my first semester alone would go by more smoothly..,0
essay_00045,s000400,i decided to come to sfsu to spend these last 2 years of my bachelors degree as focused as possible with no distractions to hold me back from reaching my goal.,0
essay_00045,s000401,so far the school has been good to me other than the fact that all of my first exams fall on the same week.,0
essay_00045,s000402,i plan on applying my full attention in class and going over the worksheets when i am home to further prepare me for my exam.,0
essay_00048,s000425,i am taking sci to expand my understanding of physics.,0
essay_00048,s000426,this is my first physics class i have ever taken and so far it has sparked my interest.,0
essay_00048,s000427,i never understood the concepts behind phyiscs and now that im in this class its becoming more and more clear.,0
essay_00048,s000428,understanding physics also helps me in understand other classes im currently taking.,0
essay_00048,s000429,it gives details on how the concepts in chemistry work and it also explain why the material i studied in precal and calculus is important.,0
essay_00048,s000430,these different subjects are all related which makes learning them at the same time easier and also more fun.,0
essay_00048,s000431,i can make analogies in my head easier and i can also explain what ive learned a whole lot better.,0
essay_00048,s000432,the hardest part of physics so far has been finding out where to start on a problem.,0
essay_00048,s000433,im hoping that sci will help me to get started on complex problems which sometimes can scare me from the beginning.,0
essay_00048,s000434,also sometimes the physics question are really vague and i hope sci can help clear them up for me.,0
essay_00048,s000435,"for a first time physics student, i sure feel confident that i will be successful in this course because sci is very helpful and im really interested in the material so far.",0
essay_00048,s000436,its been fun working through the problems and picturing the scenarios.,0
essay_00049,s000437,i am here at san francisco state university to prepare myself for the future.,0
essay_00049,s000439,i am preparing myself in the best way possible by performing to the best of my abilities in all my courses.,0
essay_00049,s000440,"all my life, from childhood to today, i have proven to myself that pursing a degree in cell and molecular biology is what i am striving for.",1
essay_00049,s000441,a career in the medical field as a cardiothoracic surgeon is what will make me the happiest.,0
essay_00049,s000443,"i have learned so much about myself during my time at sfsu, but i can honestly say that i am prepared and excited for what is to come for me and my future.",0
essay_00051,s000455,"first of all, i thought the due date meant wednesday by midnight, as in the end of tuesday, so hopefully you do not mark me down for this being ""late."" anyways, why i am here...",0
essay_00051,s000456,"honestly, sometimes i don't really know what i'm doing at college.",0
essay_00051,s000457,"i feel like i'm meant to do such big and meaningful things in life, so when i'm stressing about stupid homework and readings and such i feel like i get distracted from why i'm here, for life.",0
essay_00051,s000458,"i feel like i'm here in life to just sorta live simply, and to see what i can do for others.",0
essay_00051,s000459,"i get so carried away from this, because it's so easy to get distracted in this world.",0
essay_00051,s000461,"so, i do my best, but obviously i'm a teenage girl and i can be a little brat sometimes.",0
essay_00051,s000465,even lab is rough.,0
essay_00051,s000466,i have hope though!,0
essay_00054,s000487,i am here because i always wanted to be involved in the stem field ever since i have been a little kid.,0
essay_00054,s000488,i was first brought in the stem field when my mother brought me a book about the solar system and the formation of the planets and moons in the solar system.,0
essay_00054,s000489,this sparked a natural curiosity inside of me to pursue this knowledge further.,0
essay_00054,s000490,another reason why i am here is that i would be the first in my family to be able to go to college and pursue a degree in biology.,1
essay_00054,s000492,"eventually, when i attended high school, i was apart of an internship at the california academy of sciences as an education intern who would teach people about the various scientific topics that are discussed here.",0
essay_00054,s000493,"during my time there, i started to get more involved with the many biology departments which allow me to set up mentorships with the researchers to develop a love for biology because i have an interest in learning how biology works for the creation of all things that are living on the planet.",0
essay_00055,s000495,i am majoring in biology and i am planning on declaring a concentration in zoology by the end of this semester.,1
essay_00055,s000496,i am taking this course because i have never taken physics before and i have heard that it is one of the most difficult courses that you take as a biology major.,0
essay_00055,s000497,"i would like to do well in the course and i have heard that the supplemental instruction courses are very helpful and that students who take these courses, on average, do better in the actual class in comparison to students who dont take the sci course.",0
essay_00055,s000498,"overall, i know that physics is a major requirement for a reason.",0
essay_00055,s000499,this means that i am going to need to understand some of the material that i learn in physics for my specific major.,0
essay_00055,s000500,"with that in mind, i am taking this course so that i not only pass my physics class but so that i can better understand the material and how to apply it to everyday situations.",0
essay_00055,s000501,"this course will also benefit me in case i decide to take the second physics course, physics 121, later on.",0
essay_00056,s000503,"in doing so, i can get a better grade in my current physics 111 class and boost my gpa, making myself a more competitive medical school applicant.",1
essay_00056,s000504,"further, with a solid foundation in physics, i can get a higher score on the mcat exam.",0
essay_00056,s000505,"i hope that through the sci course, i bring my grade in the parent class up to an a. with a strong foundation in physics, i can also hope to be a better physician in the future as i will have a more developed understanding of motion and how the body moves.",0
essay_00056,s000506,a more comprehensive understanding of kinesiology through physics should prove to be useful throughout med school as well as beyond.,0
essay_00056,s000507,"mostly, i am in this sci class so that i can get the best mastery of physics 111 topics and raise my gpa. without ever having taken a physics class, i do have some anxiety about the new material and applying complex math to some of the material.",0
essay_00056,s000508,i am confident that by studying and working with the sci class that i may feel more confident in the topic.,0
essay_00057,s000509,i am here because i am a first generation student and i want to make my parents proud.,1
essay_00057,s000510,i am so privileged to be able to be going to college and be able to further my education.,0
essay_00057,s000511,i want to finish college and then go to medial school and be able to become a obgyn doctor!,1
essay_00057,s000512,helping woman and being able to help and see the a human be created and form is so amazing to me and i find it super interesting and i am hoping that being able to go to college and doing good in all my classes will help me with my dreams come true.,0
essay_00059,s000524,i am taking a sci helper class to better understand what i am learning in class.,0
essay_00059,s000525,i am taking both a physics111 sci course and chemistry115 sci course.,0
essay_00059,s000526,i enjoy it because it is forced studying in a productive manner.,0
essay_00059,s000527,"i forgot where i read this, but many educators say for every unit you take you should be studying one hour per unit your class is worth.",0
essay_00059,s000528,i am taking sixteen units therefore i should be studying sixteen hours a week.,0
essay_00059,s000530,it is amazing review and reflection time on what we just learned in class.,0
essay_00059,s000531,"it also gives you an opportunity to ask any questions that you have, that you were unable to ask in class due to time.",0
essay_00059,s000532,i also like hearing from different people on how they are learning the material because it might also help me.,0
essay_00059,s000535,"i do not regret taking these classes at all, actually i am grateful for the opportunity to be able to take these classes.",0
essay_00059,s000536,i am taking both a physics121 sci course and chemistry215 sci course.,0
essay_00060,s000539,"most importantly, i am here because of my fiancee, jordan.",0
essay_00060,s000542,"jordan passed away unexpectedly this year, on march 2nd, 2019.",0
essay_00060,s000543,"i took some time off school, and decided to come back the next semester (now) because school was always really important to jordan, and i have been really focused on not letting him down.",0
essay_00060,s000546,i have also been looking for science clubs to join in order to meet other people from my major.,0
essay_00060,s000547,"nevertheless, from the day he passed, everything i do and will do will be for him.",0
essay_00060,s000548,"so, im here to complete school and walk across that stage for the both of us.",0
essay_00061,s000551,this far i have gained so much not just from physics but life as well.,0
essay_00061,s000552,"in a year i lost everything but now that i have come back, it almost feels as if i was meant to be here at this exact time in my life.",0
essay_00061,s000553,"no matter at what age i am in, i know that wherever i am in life it is because of my choices, god, and it is because i was meant to be there.",0
essay_00061,s000554,"that is why i am here, i am here for a reason that is beyond me and for the fact that i want to go to medical school and taking this class will help get there.",1
essay_00061,s000555,life works in mysterious ways and mannn am i learning a whole lot.,0
essay_00062,s000557,i have never taken a physics course and all i ever knew from physics was the information told to me by my friends.,0
essay_00062,s000558,this in a way freaked me out because i had no expectations on how the course would go but i was worried i would not find success in the course.,0
essay_00062,s000559,"i have never been good at math before and when i started going to the first couple courses of phys 111, i saw the class as a math class but with more conceptual work as well.",0
essay_00062,s000560,"in the past, when i took precalculus, i went to tutoring at least three hours a week and that is the only reason why i passed the class with an a. i think it is important to force myself into situations where i need to focus and work on the subject i am not good at even if that means i am more exhausted by the end of the day.",0
essay_00063,s000565,our question was which college we are planning to go too.,0
essay_00063,s000566,i am here in this class so that i can get extra practice of the topics that we learn from lecture.,0
essay_00063,s000567,i am here at the school so i can get my bachelors degree for biology with a concentration in marine biology and limnology and get into a research lab.,1
essay_00063,s000568,"then after i graduate, i am planning to go straight into the masters degree.",0
essay_00063,s000569,my goal is to get into the riptides program for my masters.,0
essay_00063,s000570,my ultimate goal is to become a marine biologist and eventually get a doctorates degree.,0
essay_00063,s000571,"in order to become a marine biologist, you need at least a masters degree.",0
essay_00063,s000572,"another goal is to study the effects that global warming, ocean acidification, and water pollution has on the marine animals.",0
essay_00063,s000573,"also, i would want to study the animals behavior and how they interact with each other.",0
essay_00064,s000574,"i am in this class because i want a better grade in my class, i also want to get extra help so i can understand what i need to do rather than memorizing for the exams.",0
essay_00064,s000575,"also, this is a 1 unit course so it's not that high but it's a very easy a in this class as long as i participate, but this class will help my gpa because i will have a in a 1 unit and this class will help my chem lecture grade be higher.",0
essay_00064,s000576,"this semester i am taking 18 units, so i have a lot of homework and classes and exams but taking sci classes will help me get less stress about my exams and homework.",0
essay_00064,s000580,i will like more sections open because some of the classes time doesn't fit our schedule.,0
essay_00066,s000593,i heard that this class would help me get a better grasp of things and introduce me to new ways of studying and working in groups to solve problems.,0
essay_00066,s000595,being able to solve problems together and be able to understand the material that we are learning together helps me feel better about how i am doing.,0
essay_00066,s000596,"even though we all are in different classes learning somewhat different materials, it still all interconnect with each other.",0
essay_00066,s000597,im in this class because i know i struggle with math a little bit and it doesnt help that we only have an hour class when im used to learning things in a longer period of time.,0
essay_00066,s000598,i am here so that i can get a better grade on my tests and quizzes.,0
essay_00066,s000599,and if im stuck on any homework questions i can ask my colleagues or assistants in the class for some clarification.,0
essay_00066,s000600,"im basically just here to get a better grade in the class, hopefully i can pass the class.",0
essay_00066,s000601,this is my first time learning physics or working with these concepts so i need the most help i can get.,0
essay_00067,s000602,i am taking the physics sci class because i do not understand physics for the most part.,0
essay_00067,s000603,"right now, i am really stuck on vectors and calculating vectors.",0
essay_00067,s000604,"i can understand xus lectures just fine and it makes sense when he walks us through our problems and worksheets, but when it comes to our homework, i end up getting less than about 60 and it does not teach you how to do the problems when you get them wrong.",0
essay_00067,s000605,i am really hoping sci 111 can help me understand my homework so i can do well in the class.,0
essay_00067,s000606,the homework seriously causes me so much stress and its only the fourth week of the semester.,0
essay_00067,s000607,i need physics for my major and i have never really been good at it.,0
essay_00067,s000608,all of unit one and unit two are where i am struggling.,0
essay_00067,s000609,"unfortunately, i joined the sci class as we were beginning to go over unit three, so i am hoping there will be someone i can ask for assistance with the other units.",0
essay_00067,s000611,most people end up bailing so im hoping sci 111 will provide the assistance i need.,0
