essay_id,essay
essay_00010,i am here because i have goals that i want to achieve. i am here to better myself for me and my family. i am here to become stronger mentally more educated. i am here to set an example for my sisters and other young women in my life. i was born in mexico and my mom brought me here for a better future so she is who i do it all for.
essay_00011,"i am here at sfsu for a better future. a future where i don't have to struggle at the end of the month to pay bills or provide for my family. to achieve goals such as open up a homeless shelter pay for a house for my mother so that she doesn't have to work another day in her life. i aspire to become a doctor because i know that not only can i change my life, families, but also the people around me. as for why i am here in san francisco, i moved away to isolate myself from any distractions that would cause me to not reach my highest potential."
essay_00012,to learn more about the natural world and build relationships with many diverse people who are as passionate as i am
essay_00013,"i am here for many reasons: make myself proud happy getting education is a priveledge, knowledge is power! lowkey school makes me happy. to help my community; i want to give back to all who have touched me. by going to school teaching this class, i am able to gain perspectives sufficient knowledge to provide a helping hand to all. for change, i am here to change my life others. somewhow i will accomplish that by finding myself learning from others. for my loved ones these include my family, friends, my lover they all push me to achieve greatness, with their unwavering support, they give me power to stay grounded"
essay_00014,"i am here to expand my knowledge of the world around me and to converse with my peers to grow as a person. i am excited to be here in si because i get to give my students and peers what my si facilitators have given to me: a safe place. a place to learn, to make mistakes, overcome challeneges, and that is safe for them to be themselves and to meet others. i am here to learn myself. this is a new adventure for me where i will make mistakes and learn from them. i am here to learn from my studentspeers and to grow from their feedbackadvice."
essay_00015,"because i'm stressed about physics and i have no idea what's going on in class. i'm taking this class to get a good grade in physics and to understand the material. i'm taking phys 111 112 lab and lec. i have 3 labs a week so it's hard trying to understand all the material. all of my classes are super stressful and i have the busiest schedule of my life. on top of that i'm an ra as well so that's always stressful. also i'm trying to transfer next semester so i'm trying to get all my classes together, make sure i have enough credits to get in. also doubting if i'm good enough or smart enough to excel at all these things at once. my intelligence is always questioned anywhere i go or any class i'm in so it's hard to stay motivated or drive to succeed because you feel like you're not enough."
essay_00016,"i'm here because i want to improve my understanding in physics. i haven't taken a physics course since high school therefore i'm a little rusty. i believe attending this si course will develop and improve my overall understanding with material i may be struggling in. in the end, the goal is to achieve an a for my physics course. this is why i'm here."
essay_00017,i'm bad at math and physics is math. here to get a kin degree bc i find the subject interesting and i want to help people.
essay_00018,i feel the importance of me being here is to better myself. over time i actually didn't know if i would end up here but i love to be here. my dream is to get my masters and phd in psychology and i feel so much closer to that goal then any before. gives me a clear view of what i want in life.
essay_00019,"i am in this sci 111 class, because i have never taken physics in high school and i know that physics requires a lot of math in which i am very weak in. i hope to receive a lot of practice problems, since i learned better by doing than just watching. i also really want to understand the basic concepts of physics, because i will be taking physics 2 next semester. since i have never taken any kind of physics class, the topic does kind of scare me, and knowing that its based on algebra, trigonometry, and geometry does make me nervous. even though physics it not necessarily part of my biology major, i do believe it explains a lot of what happens in the universe. its also comforting that people are in the same boat as me in needing additional help. to be completely honest, i prefer just sitting down in groups and try to work on the problems together rather than moving around from table to table. focusing on problems with a small amount of people feels more productive to me personally. basically my main point in being in this class is to get more practice in and to make me less nervous in solving certain problems."
essay_00020,"the reason why i am here is because i want to achieve more out of life. i started working right out of high school and it took me a few years to really gain the motivation to go back to school and transfer from my community college. initially, my motivation was very revolved around myself and proving others wrong, but eventually that motivation bloomed into proving to myself that i can and will continue to improve myself not only through school, but through life as well. i am taking this sci class (aside from the fact that it is mandatory for me), because i really need that extra push to set aside time to focus on strengthening my knowledge in physics. although i am not a physics major, i need this class and physics 2 in order to get my undergraduate degree. i am also here for my family; more specifically my parents, but my entire family has been such a solid support system for me that i need to do this for them too. my parents have never forced me to do anything i didnt want to do, but always supported the career choices or academic choices i decided on."
essay_00021,"i guess that's a question i ask myself pretty frequently. not in the literal sense of ""why am in this class."" the answer to that is simple, if i'm in sci then i'll probably get a good grade in physics and a good grade in physics translates to a good gpa, and that will matter when i want to go to med school. but in more of a metaphysical sense... like why are we here, and i think that is a question that does require more thought. why do we exist? in the grand scheme of things we're tiny insignificant particles in this potential multiverse... you might not even be the best version of yourself. but still we or i continue to act like these smaller things seem to matter. and my theory for that is that we do exist for a reason. we exist because we have the potential to create great change. think about it geniuses like einstein or sports phenoms like lebron james matter to us. even though they have nothing to do with us we admire them because of their will and their potential to or ability to do things we hadn't seen before. that is what i believe the purpose of humanity is, to have the potential to change and ultimately live up to that potential is probably the most important thing anyone can do. and because of that i believe the reason we exist is or the reason we are ""here"" is to live up to our potential."
essay_00022,"this is my second time taking physics. the first time i took it was two semesters ago and i failed the class. (i got an a in the lab) while my teacher was very smart, she was new to teaching and i think she was very bad at it. she did not know how to teach the students in a way that we would be able to learn the concept. my professor would go extremely fast, and would assume we know the concepts we previously learned in high school. while i know that pre calculus is a prerequisite for this class, she did an awful job at explaining the concepts. i went to her office hours but everytime i would go, she would talk down upon me, so i stopped going after about 4 visits and went to carp instead.unfortunately carp wasn't too helpful because the tutors didn't really know what we were learning in class and therefore, even after looking at my notes, didn't really teach the concept to me. i studied a couple times with people in my class but not enough. i think everyone was a little lost in my class. after the first exam, only 6 of the class passed with a grade of d or higher. i should have dropped the class, it was a very frustration experience, but i waited it out because i thought that if i studied enough, went to office hours enough, that i would pass. this semester i want to prove to myself that i am smart and capable of passing this class with an a. i want to actually learn the concepts and not come into class everyday confused and lost. i hope that this supplemental class will introduce me to new people to maybe from a study group with. i also hope that the supplemental class will enforce what we learn in class and help me better apply formulas to the word problems we have for homework."
essay_00023,"i decided to take sci 111 because i struggled with physics in high school. i barely managed to pass high school physics and i felt i learned nothing. i am someone who loves interacting with people, and i like working in groups. i feel like it is much easier to find a solution to a problem if lots of minds are put together. sci provides the opportunity to interact with a diverse group of students who all come from different backgrounds, who all bring different perspectives and ideas. i hope to pass physics this semester but most importantly i hope to understand the concepts i am learning. i enjoy learning new things everyday. i am someone who is very curious and has always asked questions. i guess i try to understand the world around me and understand how things work. science is a subject i have always found interesting, but difficult. it was not until, i started college that i realized my passion for biology, and decided to major in biology. i used to always be a quitter, and very early on in high school i decided that i was not smart enough to understand science but i have learned that dedication, passion, and hard work are key."
essay_00024,"i am here because i know i want to do well in this physics class. i have had the same problem with school since i was a child and that is to stay focused on myself and my future. i tend to get so distracted by the fun things in life and forget that the hard stuff is what will define my future. i want to make sure that i take advantage of the blessing that is getting education. i am at a point in my life where i only have one goal and that is to do well in school, so that i can later go into a profession where i feel happy and satisfied with my life. my biggest fear is to be filled with regrets in old age. i would hate to have wasted the opportunity that is life. i still have a lot of power in my hands in terms of what i want to do with my future. so, i am here because i want to learn physics, get a good grade in physics, and excel in my studies so that i can one day go into the stem field and help other people. when i have done these things, i know that i will be content with the life that i lived."
essay_00025,"i am here because i am dedicated to my success in my stem based courses. i am here because im not afraid to ask for help and guidance. im here because i want to be apart of a new community. i was apart of a sci course last semester and i loved how helpful the instructors were. i felt comfortable with them and it gave me time to ask specific questions that i had and have something close to a one on one explanation. sci allows a welcoming atmosphere where i can be helped by the instructors or my peers and we as a unit are able to solve problems. a lot of the time i feel uncomfortable im my regular stem classes because i feel that i may be the only one not understanding. i also know that the time allotted for the professors are not enough to begin with. at the sci classes, we usually go over worksheets that answer my questions. im here because i want to be. you so know that the time allotted for the professors are not enough to begin with. i am here for my parents and my family. i am here for my family members who could not make it this far. i here to show those family members that they can be here too. im here for all the little colored girls who do not have positive figures to look up to in their communities."
essay_00026,"i signed up for this si class because this is the first physics class ive ever taken. i figured that it would help me really understand the base concepts of physics. this gives me the understanding that ill need should i decide to pursue further physics knowledge and give me the concepts that ill need to know for my major. so far, ive been learning better and have gotten a better grasp on how to solve problems and ive learned through explanation and by teaching other people myself. my class is a little slower paced, so the si class gives me at the very least an introduction to a topic that we havent gone into depth on in my lecture. im here to make friends and a study group. ive noticed that this semester specifically im a lot more outgoing with talking to people. im not sure what it is, whether im more confident, or if i just dont give as much of a shit. it definitely makes life a little easier, having classmates to talk to ant work with, or reach out for help outside of class. i have a pretty tight group of friends at home that i live with. weve been bros for a few years now, and we all work together and just mess around all the time. it will be nice to have friends outside of this group too. i wanted to take this si class so that i can be more confident in my physics skills so that i dont have to focus as much on my grades. if im not worried about my classes, then i can be even more supportive to my girlfriend. shes trying to go to med school and needs all the help she can get. i want to be as supportive as i can for her. by taking the time to make sure that i dont fall behind in my classes, i can really make sure i can devote more time to helping her with whatever she needs. im here to really learn physics so that i dont have to catch up later."
essay_00027,"i chose to be in this class because no matter how smart you are, no matter how much you know in the course you think you are doing the best at, there is always room for improvement. theres always space to open your doors for more room for knowledge. i am all about learning and wanting to do better and better in all that i do and i know this course is perfect for that. i know it is called a supplemental course to help us do better in a certain class, but i like how it is open to everyone even if you get 100 on every exam or quiz or whatever it is that you do in that class. another reason i am here is because i want to be able to help others by learning something myself. i feel like this opens opportunities to be friends with someone who is on the same path as you and this is an easy way to get to know others around you and to be able to surround yourself with others who are just like you. i am very grateful and blessed to even be able to take such a course."
essay_00028,"my name is student name. i am a dualmajor at san francisco state university. my majors are philosophy and biology, with a concentration in physiology. i am eager to delve into research and development, using my biology, philosophy and risk management professional skills in lifesciences. i also like to rock climb and i teach rock climbing as well as an american mountain guide instructor (amga). in my off time, i like to perform music with friends on stage and i have been playing guitar and bass for 13 years. i also really enjoy photography. i picked up photography from my dad when i was little and have been taking photos ever sinceits my way of journaling and i find it very therapeutic. in highschool i originally wanted to study theatre, but eventually joined a health academy and acquired 400 plus hours towards medical school interning as a student. although i changed my direction career wise, i am asked to this day by students to act in their films and script readings at sfsu. it has been nice to find a balance in my hobbies and career goals this semester; the unexamined life is not worth living."
essay_00029,"i am here in the sci class because i would like to be pushed to dedicate time for focusing on physics. in the sci class, we do practice problems, and work that keeps me focused on physics. i am able to teach the concepts to other people and that makes me learn the concepts more as well because i am recalling them and using nothing to reference, but my brain, on what to do. i think i am also here because if i did not have a regular class to sit me down and do my work i would be less motivated and less likely to do it. this is because i prioritize what i want to do over my homework assignments because they tend to learn the concepts and feel of the homework is almost useless if i already know what i'm doing in prepared for the quiz or test for example. i do think practice and experience doing homework even if you fully understand the concepts is beneficial, but i don't spend my time unless forced to like a sci class. this class is a way for me to spend that time i need to further my success in the class and hold myself accountable."
essay_00030,"i don't know if this question is pertaining to why am i here at san francisco state university or why am i here in this class. i am going to answer both. i am here at san francisco state university because i wanted to be able to be far from home, but not too far. a one hour airplane trip back home, 7 hour drive. i wanted to experience a different environment and a different culture because not everything done in socal is done in norcal. i am in college specifically to pursue my one and only career which is to be a veterinarian. getting declined from uc davis because they have a great vet program lead me over here where i can get my degree then try uc davis later. i am here to get my degree, network, and to make great friendships. why am i here in this sci 111 course? i am in this course because i am new to physics i never took physics in high school because i was told it can mess up my gpa. hearing that i already knew it would be a challenging course. i am in the course to get more help with understanding the concept and formulas of physics because the first class was very confusing and my professor teaches very fast. what i hope to get out of this sci class is a clear understanding of how to solve and physics problem and be confident that i know how to do it."
essay_00031,i am here for many reasons. ever since i was young i always believed in helping others who could not help themselves. as i continue to grow i see that that is possible as a career in many ways. as i pursue my biology major i realize that although difficult as i continue in this path i come closer to my goal of help people in my own way which is why i think i am here today.
essay_00032,"one of the main reasons i am here is to get an education. after college i want to go onto medical school to become a neonatal surgeon. i can only achieve this dream if i have an education. i personally believe that an education is the key to success. having an education opens up doors that you would not be able to access if you didnt have an education. being here at san francisco state gives me an opportunity to get an education. secondly, i am here to make friends and experience new things. san francisco is a really good place to explore new concepts and get to know new people. finally i am here to find myself. being away from home in a new city has taught me so many things especially about myself. i have learned that i am capable of more than i thought i was. i have learned a lot since being here and i cant wait to learn more not only about myself, but about becoming a doctor as well as learning new things in the world. i am very lucky to be at san francisco state because not everyone is able to get a college education."
essay_00033,"the reason for taking sci is that i may be able to understand the concepts of physics and the subject itself to the best of my abilities. i have heard that the course itself is intense. i have never taken a physics class. with that being said, i find it important to take an hour of my time to attend this class so that i may fulfill my goals for physics. sometimes i learn better when other people explain rather than teachers. and to be fair, i could use the extra boost for my gpa. my instructor quickly lists the main points of the topic and quickly moves to other topics. i find this ok but also not very effective to my understandment. i think sci would definitely enhance my learning abilities but also my academic selfesteem since i wont be the only student struggling with the subject. as the pace starts to pick up, i find sci to be somewhat useful. there are things i havent learned and i found last sci class to be quite difficult. but there were als things i learned that were discussed later on the week. i look forward to learning and understanding physics throughout the semester."
essay_00034,"i am here because one i never took this in high school so i was new to physics and two i am retaking this class. i have found physics to be very difficult and i am hoping this class will help me pass physics. i dont want to fail again and i also would like to understand it. i know its important to know on the mcat. i want to be able to know about some physics to help me pass that test. i also think this class is a good opportunity to create study groups and make new friends in my major. you learn more when you teach others how to do something or if youre learning by another student who is taking the same class. i also feel like it was a good idea for me to take this class because it will help me understand physics a lot better. physics isnt an easy subject to learn. a lot of people have told me they had to retake it. it is my weakness in school. i am a big fan of math but for some reason physics doesnt stick to my brain. im hoping this time around, it will work out for me."
essay_00035,"i an here at sfsu for 2 reasons. my family is very bug on education, so everyone generally aspires to go to college. i never thought i had an option not too. it was always in my head after k12, boom you go to college and become an ""adult"". for me personally, i am here to learn more about stem so i can gain the tools to equip me for medical school. career wise i'm not sure what i want to do, but i definitely want to work with medicine. the second reason why i am here at sfsu is because of my parents. i originally wanted to move to la or san diego, san diego state was originally my first choice. growing up i thought i could get into those top school's like harvard, but my grades didn't reflect that. but why i ended up here at sfsu is because my parents didn't want me moving up to socal, and my only choices were school's up here. so i thought sfsu was the best school to go to out of those options. but overall, mainly i want to make a difference in the medical community and use my skills to help others."
essay_00036,"i am here to learn more about physics. i come here to achieve the skills needed to solve physics problems, all sorts. i need to be able to remember, comprehend, and manipulate various formulas. i come here to learn more about concepts that physics has in general. i also need physics to get into the medical school i want to get into, but i really enjoy physics and the challenging problems it brings. i am also here to get my general education done. most importantly, i am here because i want to understand more about physics because my grandfather was a physics professor and also taught at uc berkeley. i am here to understand measurements, calculations, and various types of problems that specialize in different laws of gravity. i am here to build a life for myself and am starting with getting a good grade in physics, and this class will hopefully enable me to do so. i am here to get a degree. i am here to enjoy my life in a part of the world that is still somewhat new to me. i am here because i want to experience adulthood and life on my own. i am here to start my life."
essay_00037,"i decided to take this class primarily to get a better grade in physics 111; i have never attempted a physics class, so conceptually this is all very new to me. i always hear about people taking a physics class in high school; i wish i could have been that fortunate! i feel like being present in this class will help me better understand physics conceptually and mathematically. i do not have a strong background in mathematics; despite being given formulas i have a difficult time understanding the ultimate purpose of the formula, as in what it is meant to prove, and i end up getting confused and frustrated with the material. i hope my attendance will help with understanding the material and being able to correctly calculate the various problems. i also hope that attending this course will broaden my conceptual comprehension of physics. i do not want to be stumped on a problem because i cannot imagine what it is supposed to look like or what it is meant to represent. i am terrified of the upcoming exams in physics; i am hoping that coming to this class will help build my confidence and help me to understand how to look at the problems and determine what factors i need to answer the question."
essay_00038,"i'm here because i'm afraid of failing physics and i'm hoping this class will help me succeed in passing it. it's like this fear i have about failing classes after i failed like two classes. i also took my friend with me, devin because we're in same physics class so i won't be alone. i also hope this class will help me understand physics more by just practicing more problems. i also want to meet new people so we can all study together and help each other. so far this class has been surprisingly fun and i actually learned a lot that helps me with the class. i learned how to manipulate the equations that will help me in physics. i actually meet some cool people so far, like name 1 and name 2. and i like how open we are and the teachers are really good. name 3 and name 4 are also pretty cool, they're very open and will help in any way they can. maybe this class will also help in my life in general, to do work harder and work with a group better. basically, i'm learning some life skills with this class. well yeah, that's pretty much it that's why i'm taking this class."
essay_00039,"throughout my entire life i have dreamt about working in the medical field. i am here to make those dreams come true. it started as one of those careers that elementary school kids talk about when their teacher asks them what they want to be in the future, and my answer was always a brain surgeon, because how awesome does that sound. but this dream ended up sticking with me for the duration of my educational career and is the reason that i am attending san francisco state today. unfortunately i no longer want to be a brain surgeon, but i have finally decided that i want to study anesthesiology. i find the field to be very interesting to me and i can see myself enjoying it for the rest of my life. however, i need to make it through a long hard path of schooling to chase this dream. throughout my educational career i have easily succeed in biology and chemistry courses because they comes naturally to me. math always gives me a little trouble, but i get a hang of it after pushing myself to do the best i can. but then there's physics. i have never taken a physics course in my life and it makes me very anxious because there are a number of people that have seen what we are covering previously and i have never seen any of it. this is why i decided to sign up for sci 111 and receive the extra help i knew was necessary in order for me to pass this class. i have heard nothing but good things about these classes, and so far what i have heard is true. i am here to build off of what we learn in class, ask questions about topics that i am not understanding, and to build study groupsrelationships with my fellow peers. looking forwards to a great and productive semester."
essay_00040,"i am in this class because i am not good at math. i have been in a sci class before for chemistry 1 and it helped me almost get an a in my class. i know physics is very math heavy and conceptually confusing, so i knew sci would be perfect for me this semester. i also have to take physics 2 next semester so i would like to have a firm understanding of the basic concepts before they get even more complicated. this class is a great way of studying and making friends that i can study with! i have already made a group to study with, we all have different teachers and can help each other figure out things one teacher might have focused on more than another. this class also allows us to concentration on the topics we did not understand in the class. it allows us to dig deeper into each subject and truly understand the things we might have missed before. i hope that by the end of this semester that i can get a better grade than without the sci classes help, and be able to go into physics 2 with confidence and the knowledge needed to do well there as well. (and if not i will just come back to sci and get some extra help)"
essay_00041,"i am in the physics 111 supplemental course because i had failed physics 111 in the past spring semester. the reason of this is because i began to slack off towards the end of the semester because i was barely coasting by the course with a decent grade and as the course became harder and the longer i did not reach out for help. i ended up just giving up on passing the class. i am in sci 111 so i can keep myself motivated to do better, improve, and gain a better understanding on what is going on in my physics class. i am in sci so i can meet people that have the same goal as me, which is to pass the class and understand it well enough to pass physics 121. i would like to get to know more people in the class so that we can form a study group and not only study but complete homework together as well. i hope that through sci i will also be able to grow as an individual. in this case i am referring to not being afraid of asking for help when i desperately need it. this is because math and science has usually always clicked with me and because physics does not click in my head automatically without lots of thinking i become stressed and worried that i will never be able to understand the material enough to pass the class."
essay_00042,"the reason why i am here today, in this class is to get a better understanding of what physics is. this class, will help me strive and understand concepts that my professor has taught me during the week. if i do not understand a topic, then i would go to this class and ask my questions and get more help until i completely understand what is being taught. this class gives us more practice problems to help prepare us for exams and this is why i enjoy being there. i also am here because i know that i am not the only one who is struggling, and seeking help. when i am in that room, i feel comfortable to ask my questions without having anyone judge me because i did not understand a topic that was taught by my professor. when i am around my peers in that classroom, i sense a connection and i know that they want what i want, which is to understand physics and pass the class with a good grade. with all of this being said, i am here because i care for my grades and i want to be successful. i believe that this class will help me accomplish that task, and help me be more prepared for what is to come in the future."
essay_00043,"im in sci to better my understanding of physics. i took physics in high school and was absolutely in love, but as we all know high school courses are not the same as college courses. chemistry has been kicking my butt since i first got to college and with that i was really afraid to start my physics requirements. so far into the course, i believe its a lot of visualizing, but chemistry is a lot of visualization as well so i believe im ready. ive took sci in the past and realized it is also a really great way to make new connections from which you can form study groups or just friends in general. im really hoping to make more of those connections this semester. the professors for the sci courses are usually good resources to help find programs as well or to even make the time to stay longer to help you with a problem. ive enjoyed all of my sci courses and all in all just college too. its been a great experience to see that even helping one student with their work could be very rewarding and i might think of becoming a sci professor in the future as well."
essay_00044,"i am here because i am a first generation college student and i am interested in the medical field. i have always had a passion to help people and i believe the medical field is the best way to fulfill my passion. i want to show all the minorities that you can do it too. i want to break stereotypes in the workforce to help other people feel more comfortable in the field they want to go in rather than feeling they do not belong. i feel very welcome here at san francisco state and i believe that this is a very friendly and helpful place to learn especially as a premed student with a lot of opportunities that we have available. i feel very blessed to be a part of a community that enriches the growth of learning and works together as one to figure problems out. as a second year, i can not imagine myself being at no other college and feeling very comfortable like i do here to get to my career path in the medical field. becoming a doctor has been a lifelong dream of mine and i plan on enjoying my journey with amazing opportunities here at sfsu."
essay_00045,"i am in this sci class in the hopes of getting a really good grade in general physics 1. i am hoping for an a, and i honestly think it is doable because of all the extra time i am going to be putting in to make sure i understand all the concepts. it will also prepare me for general physics 2, which will hopefully help me down the road somehow when i am in pharmacy school. this is my first semester at sfsu, i am a transfer student from southern california (sylmar). i did not know what to expect for my first semester out here so i also decided to enroll in this course for safety measures just to make sure my first semester alone would go by more smoothly.. i decided to come to sfsu to spend these last 2 years of my bachelors degree as focused as possible with no distractions to hold me back from reaching my goal. so far the school has been good to me other than the fact that all of my first exams fall on the same week. i plan on applying my full attention in class and going over the worksheets when i am home to further prepare me for my exam."
essay_00046,"i'm enrolled in this class so that i have a better understanding of the material taught in my physics class. i'm here to solve practice problems as well as work in groups to help myself as well as the participants in my group. i'm enrolled in the physics lecture class because i want to graduate college and attend medical school. in order to get to medical school, i have to take the mcat. on the mcat, there is a whole section dedicated to physics, in order to complete this section, i need to have a deep understanding of physics. my whole reason for being in college is to go to med school, the classes i take are all classes that i need to complete in order to fulfill my dream of attending ucsf. i want to attend a great medical school so that i can move on to being a trauma surgeon in the future. so to fully answer the question, ""why am i here"", i would have to say i am ultimately here to learn all of the information i need to know to take do successful on the mcat so that i can attend an amazing medical school so that one day i am able to become an inspiring female trauma surgeon."
essay_00047,"i am here because i want to get a degree. i want to go to med school and become a doctor. i want to help people and connect to patients. i want to connect to the individual on a personal level and get to have a better relationship with them. i would love to be able to help people physically and mentally, while being a friend. i would love to work with elders and get to know them, their stories, and experiences. i really want to keep learning. i love learning, this is also partly why i want to go to med school. i want to gain as much education and experience as i can get. i would love to become a doctor in the future and do surgery or become a pediatrician. i want to also open up my own non profit organization. it will be a hospital. i am also really interested in the human body and how it works. i want to be a part of the discovery of new things, especially in the med field. i want to learn everything about it and how it functions, so i can spread my knowledge to others. i just really want to make a big impact and leave my mark."
essay_00048,"i am taking sci to expand my understanding of physics. this is my first physics class i have ever taken and so far it has sparked my interest. i never understood the concepts behind phyiscs and now that im in this class its becoming more and more clear. understanding physics also helps me in understand other classes im currently taking. it gives details on how the concepts in chemistry work and it also explain why the material i studied in precal and calculus is important. these different subjects are all related which makes learning them at the same time easier and also more fun. i can make analogies in my head easier and i can also explain what ive learned a whole lot better. the hardest part of physics so far has been finding out where to start on a problem. im hoping that sci will help me to get started on complex problems which sometimes can scare me from the beginning. also sometimes the physics question are really vague and i hope sci can help clear them up for me. for a first time physics student, i sure feel confident that i will be successful in this course because sci is very helpful and im really interested in the material so far. its been fun working through the problems and picturing the scenarios."
essay_00049,"i am here at san francisco state university to prepare myself for the future. i want to become knowledgeable about different cultures, different personalities and most importantly different academic subjects that i am not yet completely comfortable with. i am preparing myself in the best way possible by performing to the best of my abilities in all my courses. all my life, from childhood to today, i have proven to myself that pursing a degree in cell and molecular biology is what i am striving for. a career in the medical field as a cardiothoracic surgeon is what will make me the happiest. i am intrigued by this career because i grew up with family who died due to heart conditions, therefore i want to be able to understand and form conclusions on my own that way i can comprehend the cause of their deaths. i have learned so much about myself during my time at sfsu, but i can honestly say that i am prepared and excited for what is to come for me and my future. i am ready to set new expectations for myself and what i want to accomplish for my future. i want to look back when im older and say that all my late nights and sacrifices have been worth it."
